seq,edge,t_start,t_end,duration
1,n1→n2,8.517,23.283,14.767
2,n2→n3,23.283,60.150,36.867
3,n3→n4,60.150,83.917,23.767
4,n4→n5,83.917,112.550,28.633
5,n5→n1,112.550,126.850,14.300
