t,x,y,yaw,wz,cmd_w,phase
10.016666666,33.99967575073242,40.79998779296875,-0.0002526543125037615,1.054912445397349e-05,0.0,idle
10.033333333,33.99967575073242,40.799983978271484,-0.00025200093248001676,0.0001189241447718814,0.0,idle
10.05,33.99967575073242,40.79997634887695,-0.0002667433793690668,5.585957751463866e-06,0.0,idle
10.066666666,33.99967956542969,40.799991607666016,-0.00024609888117400127,0.00018374653882347047,0.0,idle
10.083333333,33.99967575073242,40.799983978271484,-0.0002592874829625259,7.959018148540054e-06,0.0,idle
10.1,33.99967575073242,40.79997634887695,-0.0002739669236793415,4.954029009240912e-07,0.0,idle
10.116666666,33.99967575073242,40.79998779296875,-0.00025670507093902996,3.2470902624481823e-06,0.0,idle
10.133333333,33.999671936035156,40.79997253417969,-0.0002720259975186597,-1.0746038242359646e-05,0.0,idle
10.15,33.99967575073242,40.79998779296875,-0.0002586538316894804,-2.578479779913323e-06,0.0,idle
10.166666666,33.999671936035156,40.79997634887695,-0.0002729602618077359,-1.428640098311007e-05,0.0,idle
10.183333333,33.99967575073242,40.79998779296875,-0.00025525216731507003,1.4579517483070958e-05,0.0,idle
10.2,33.99967575073242,40.799983978271484,-0.0002553786146440959,1.5802562529643183e-06,0.0,idle
10.216666666,33.99967575073242,40.79998016357422,-0.00026404469677121305,-7.5592834036797285e-06,0.0,idle
10.233333333,33.99967575073242,40.79998016357422,-0.00026233540359230144,2.1863992515136488e-05,0.0,idle
10.25,33.99967575073242,40.79997634887695,-0.0002659054815918518,9.047857020050287e-06,0.0,idle
10.266666666,33.99967956542969,40.79998779296875,-0.00024813897657799866,-1.7090397932406631e-06,0.0,idle
10.283333333,33.99967575073242,40.79997253417969,-0.0002637775854094295,-3.1920881156111136e-06,0.0,idle
10.3,33.99968338012695,40.79998779296875,-0.00025158027612499787,1.0803548320836853e-05,0.0,idle
10.316666666,33.99967956542969,40.79998016357422,-0.00024984779760724683,-1.756347955961246e-05,0.0,idle
10.333333333,33.99967575073242,40.79998016357422,-0.0002505064906479824,3.436103361309506e-05,0.0,idle
10.35,33.99967956542969,40.79998016357422,-0.000249254795015979,5.2346906159073114e-05,0.0,idle
10.366666666,33.99967956542969,40.799983978271484,-0.0002461582572622797,6.863456746941665e-06,0.0,idle
10.383333333,33.99967956542969,40.79998016357422,-0.0002546430261458906,-1.0528888196859043e-05,0.0,idle
10.4,33.99967575073242,40.79997634887695,-0.00025787684814777,-6.303278496488929e-06,0.0,idle
10.416666666,33.99967575073242,40.799991607666016,-0.0002402347558466437,9.955392670235597e-06,0.0,idle
10.433333333,33.99967575073242,40.799983978271484,-0.00025044325446741035,5.396970209403662e-06,0.0,idle
10.45,33.99967575073242,40.79998016357422,-0.0002591205811145027,-1.1780070053646341e-05,0.0,idle
10.466666666,33.99967575073242,40.79998016357422,-0.00025741350336974325,2.008990486501716e-05,0.0,idle
10.483333333000001,33.99967575073242,40.79997634887695,-0.0002609790254642505,1.5092751709744334e-05,0.0,idle
10.5,33.99967956542969,40.799991607666016,-0.00024362343904081664,-9.288564797316212e-06,0.0,idle
10.516666666,33.99967956542969,40.799983978271484,-0.0002538425129831075,2.1146779545233585e-06,0.0,idle
10.533333333,33.99967575073242,40.79998016357422,-0.00026254658723094383,-1.1008884030161425e-05,0.0,idle
10.55,33.99967956542969,40.79998016357422,-0.00026120437309993627,1.4478820048680063e-05,0.0,idle
10.566666666,33.99967956542969,40.79997634887695,-0.0002647901989828476,1.52970587805612e-05,0.0,idle
10.583333333,33.99968338012695,40.79998779296875,-0.00024812126563844203,3.673512537716306e-06,0.0,idle
